,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,AFMC          ,18.506342,73.89050300000001,Royal Western Indian Turf Club,18.507032688189817,73.89064087616383,Racetrack
1,AFMC          ,18.506342,73.89050300000001,Race Course,18.506485139668143,73.89213375973637,Track Stadium
2,AFMC          ,18.506342,73.89050300000001,mongiri's,18.506277965718503,73.89386778710883,Cupcake Shop
3,Airport          ,18.578542000000002,73.908641,Pune Airport Arrival,18.57871751151574,73.90935547721332,Airport Service
4,Airport          ,18.578542000000002,73.908641,Relay Bookstore,18.579464,73.90868,Bookstore
5,Airport          ,18.578542000000002,73.908641,Mic Mac,18.579710543643447,73.90834803684969,Fast Food Restaurant
6,Airport          ,18.578542000000002,73.908641,Go Air Check In Counter,18.57863117424613,73.90885327595306,Airport Gate
7,Airport          ,18.578542000000002,73.908641,O2 Spa @ Pune International Airport,18.57992238947806,73.90869251819866,Spa
8,Airport          ,18.578542000000002,73.908641,Baker Street,18.57981,73.9088,Bakery
9,Airport          ,18.578542000000002,73.908641,Smoking lounge,18.58066785563443,73.9080954168067,Smoke Shop
10,Akurdi          ,18.646468,73.774262,Foodies Corner,18.647839383982145,73.77079317045967,Thai Restaurant
11,Akurdi          ,18.646468,73.774262,DTDC Couriers,18.6452284531244,73.77555142351918,Paper / Office Supplies Store
12,Akurdi          ,18.646468,73.774262,Sanjay Kale Ground,18.64631391679643,73.77131714689348,Playground
13,Akurdi          ,18.646468,73.774262,punesubji.com,18.64929482124146,73.77407312393188,Fruit & Vegetable Store
14,Akurdi          ,18.646468,73.774262,Jumboking Wadapav,18.649044807210053,73.77602253152021,Fast Food Restaurant
15,Ammunition Factory Khadki      ,18.567988,73.857668,State Bank of India ATM,18.569928,73.856792,ATM
16,Anandnagar          ,17.252763,74.175439,"Maharaj Mess (Koyna Vasahat, Karad)",17.256004669756663,74.17701961761297,Vegetarian / Vegan Restaurant
17,Armament          ,18.537086,73.795187,PASHAN CIRCLE BHAAJI MANDAI,18.53729932699879,73.79428572726806,Flea Market
18,Armament          ,18.537086,73.795187,Pashan circle sabji market,18.537706534903712,73.79510147111766,Farmers Market
19,Aundh Camp        ,18.501009,73.832877,Coffee & Bread Art Cafe,18.504055300870068,73.83086798780846,Café
20,Aundh Camp        ,18.501009,73.832877,Abhishek Veg,18.50384200573861,73.83058430995754,Vegetarian / Vegan Restaurant
21,Aundh Camp        ,18.501009,73.832877,Multi Spice,18.501569760214604,73.83458174522859,Indian Restaurant
22,Aundh Camp        ,18.501009,73.832877,Harvest Club,18.502126211742613,73.83554493185956,Indian Restaurant
23,Aundh Camp        ,18.501009,73.832877,Khidki Wada Pav,18.500377577172287,73.83183519547669,Snack Place
24,Aundh T.S.        ,18.552157,73.815439,Personna Furnishings,18.5521567,73.8154394,Furniture / Home Store
25,Aundh T.S.        ,18.552157,73.815439,"Cafe Durga, Kharadi",18.54966391445632,73.81477596929201,Coffee Shop
26,Aundh T.S.        ,18.552157,73.815439,The Oval Garden,18.549529557110993,73.81610859473633,Park
27,Aundh T.S.        ,18.552157,73.815439,Kiva Brew Pub,18.55469528675377,73.81381095907037,Bar
28,Aundh          ,18.555964000000003,73.804439,Lost The Plot,18.55441705754062,73.80480775361278,Lounge
29,Aundh          ,18.555964000000003,73.804439,Yolkshire,18.55357605468349,73.80688828707882,English Restaurant
30,Aundh          ,18.555964000000003,73.804439,Cafe Peter Donuts,18.55774038538134,73.80440120069147,Donut Shop
31,Aundh          ,18.555964000000003,73.804439,La Bouchee d'Or,18.558395340284914,73.8037872123466,Bakery
32,Aundh          ,18.555964000000003,73.804439,Melange - High Spirited Dining,18.554732470044367,73.8046899746739,Restaurant
33,Aundh          ,18.555964000000003,73.804439,Air Life Studio,18.553572828434206,73.80696545202225,Gym
34,Aundh          ,18.555964000000003,73.804439,Seasons Hotel,18.55465215489737,73.80480538162773,Hotel
35,Aundh          ,18.555964000000003,73.804439,Magnolia,18.553912690747158,73.80189240886845,Asian Restaurant
36,Aundh          ,18.555964000000003,73.804439,Cream Stone,18.553448166130234,73.80255142769138,Ice Cream Shop
37,Aundh          ,18.555964000000003,73.804439,cafe Joshua,18.55784509437005,73.80487290332563,Café
38,Aundh          ,18.555964000000003,73.804439,Croma,18.55356205401556,73.80701587886603,Electronics Store
39,Aundh          ,18.555964000000003,73.804439,Cinnamon Spice - Desi Tadka,18.555145297973432,73.80462477780765,Indian Restaurant
40,Aundh          ,18.555964000000003,73.804439,Chitale Bandhu Mithaiwale,18.55775436951706,73.80546744585911,Dessert Shop
41,Aundh          ,18.555964000000003,73.804439,Baskin-Robbins,18.553160707309527,73.8026842820838,Ice Cream Shop
42,Aundh          ,18.555964000000003,73.804439,Makkhan Maar Ke,18.554067229606947,73.8018238901343,Punjabi Restaurant
43,Aundh          ,18.555964000000003,73.804439,Anna Idli,18.55281460198554,73.80320456394246,South Indian Restaurant
44,Aundh          ,18.555964000000003,73.804439,Cafe Chokolade,18.55403715446756,73.80487595882266,Café
45,Aundh          ,18.555964000000003,73.804439,Cakes And More,18.554555756191252,73.80493609150686,Dessert Shop
46,Aundh          ,18.555964000000003,73.804439,Juice Destination,18.553555132381188,73.8069045093852,Food Court
47,Aundh          ,18.555964000000003,73.804439,Mythical East,18.55481106933223,73.80496481340077,Chinese Restaurant
48,Aundh          ,18.555964000000003,73.804439,Kiva Nea,18.55782617024372,73.80459217770263,Diner
49,Aundh          ,18.555964000000003,73.804439,Chittale Bandhu Mithaiwale,18.55778541005212,73.80545180840771,Department Store
50,Aundh          ,18.555964000000003,73.804439,Grub Shup Cafe,18.553610535302848,73.80703216565024,Sandwich Place
51,Aundh          ,18.555964000000003,73.804439,Zunj Nayan-Pattogh,18.55361916357555,73.80272449321092,Middle Eastern Restaurant
52,Bajirao Road        ,18.513567000000002,73.853342,Sujata Mastani,18.511792754341577,73.85214493967393,Ice Cream Shop
53,Bajirao Road        ,18.513567000000002,73.853342,Bhagat Tarachand,18.514332265559556,73.85131729012238,Indian Restaurant
54,Bajirao Road        ,18.513567000000002,73.853342,Raja Dinkar Kelkar museum,18.510743623888896,73.85438919067383,History Museum
55,Bajirao Road        ,18.513567000000002,73.853342,Shree Wadeshwar Bhuvan,18.510752727983352,73.85374824193698,Vegetarian / Vegan Restaurant
56,Bajirao Road        ,18.513567000000002,73.853342,P.N. GADGIL & CO.,18.51448373993062,73.85217361271135,Jewelry Store
57,Bajirao Road        ,18.513567000000002,73.853342,Shrikrishna Bhuvan,18.51349411364069,73.85507354346112,Snack Place
58,Bajirao Road        ,18.513567000000002,73.853342,Hotel Agatya,18.514450921596094,73.85427023461997,Indian Restaurant
59,Bajirao Road        ,18.513567000000002,73.853342,Chitale Bandhu Mithaiwale,18.51360263696441,73.85380148377794,Dessert Shop
60,Bajirao Road        ,18.513567000000002,73.853342,Laxmi Road,18.514273717413527,73.85184488270644,Road
61,Bajirao Road        ,18.513567000000002,73.853342,Vama,18.513961519154886,73.85239716874786,Women's Store
62,Bajirao Road        ,18.513567000000002,73.853342,Bedekar Misal,18.514925451086196,73.84986185903888,Restaurant
63,Bajirao Road        ,18.513567000000002,73.853342,Kaware Ice Cream,18.514828220471887,73.85507243193781,Ice Cream Shop
64,Bajirao Road        ,18.513567000000002,73.853342,Tulshibaug,18.514050067357854,73.8549256324768,Miscellaneous Shop
65,Bajirao Road        ,18.513567000000002,73.853342,Mahatma Phule Mandai,18.513349597939047,73.8560544693351,Fruit & Vegetable Store
66,Bajirao Road        ,18.513567000000002,73.853342,Shree Upahar Gruha,18.513084444977224,73.8523847255863,Breakfast Spot
67,Bajirao Road        ,18.513567000000002,73.853342,Manyawar,18.514439005241805,73.85338974828196,Men's Store
68,Bajirao Road        ,18.513567000000002,73.853342,Shanipar,18.51233304073676,73.85301645473669,Bus Station
69,Bajirao Road        ,18.513567000000002,73.853342,Indrayani Sugarcane Juice,18.51333882460705,73.85457853993292,Juice Bar
70,Bajirao Road        ,18.513567000000002,73.853342,Indrayani Rasawanti Gruh,18.513378150411192,73.8540616748798,Juice Bar
71,Bajirao Road        ,18.513567000000002,73.853342,Rajiv Electronics,18.512410717207064,73.85071350506227,Electronics Store
72,Bajirao Road        ,18.513567000000002,73.853342,Bapat Upahar Gruha,18.51060968410028,73.85425939642322,Breakfast Spot
73,Bajirao Road        ,18.513567000000002,73.853342,Ranka Jewellers,18.514399829181304,73.84997839326242,Jewelry Store
74,Baner Gaon        ,18.559003,73.786763,Khasbaug Misal,18.560822629857885,73.78759879964393,Breakfast Spot
75,Baner Gaon        ,18.559003,73.786763,Area 51,18.557373828658736,73.7870979309082,Lounge
76,Baner Gaon        ,18.559003,73.786763,Malaka Spice,18.55947591740865,73.7904085891615,Malay Restaurant
77,Baner Gaon        ,18.559003,73.786763,Wazwaan,18.56126861159746,73.7857538640578,Indian Restaurant
78,Baner Gaon        ,18.559003,73.786763,The Great Punjab,18.559498679890776,73.79004017896312,Indian Restaurant
79,Baner Gaon        ,18.559003,73.786763,Regalia Restaurant And Lounge,18.559474160345307,73.7902127027067,Lounge
80,Baner Gaon        ,18.559003,73.786763,Falahaar,18.561298294432703,73.78687494350538,Juice Bar
81,Baner Gaon        ,18.559003,73.786763,Kerala Cafe,18.559835,73.789212,South Indian Restaurant
82,Baner Road        ,18.537879999999998,73.804824,State Bank of India ATM,18.5408513,73.8066679,ATM
83,Baner Road        ,18.537879999999998,73.804824,NCL Jogger's Park,18.538599685046048,73.80839417768756,Park
84,Bavdhan          ,18.507098000000003,73.776404,Hotel Nivant,18.507876492225982,73.77890086237527,Indian Restaurant
85,Bhavani Peth        ,18.508673,73.870273,Laxminarayan,18.50979918049512,73.87077295678284,Snack Place
86,Bhavani Peth        ,18.508673,73.870273,Axis Bank ATM,18.506950378418,73.86905670166,ATM
87,Bhavani Peth        ,18.508673,73.870273,Timber Market,18.509267043520047,73.86814863305406,Furniture / Home Store
88,Bhavani Peth        ,18.508673,73.870273,meghdoot,18.50920206548364,73.87270241529953,Diner
89,Bhosari I.E.        ,18.622557999999998,73.829113,The Fern Residency,18.621726,73.830236,Hotel
90,Bhosarigoan          ,18.624897,73.85660899999999,Hotel Surya,18.62478170144368,73.85956908933095,Indian Restaurant
91,Bhosarigoan          ,18.624897,73.85660899999999,Sai Mauli Tyer Works,18.624792,73.860328,Auto Garage
92,Bhusari Colony        ,18.508581,73.79582099999999,McDonald's,18.50790844458206,73.79653085601878,Fast Food Restaurant
93,Bhusari Colony        ,18.508581,73.79582099999999,cafe coffe day,18.507610073887587,73.7980842590332,Café
94,Bhusari Colony        ,18.508581,73.79582099999999,Khandesh,18.508374712783354,73.79220786321342,Indian Restaurant
95,Bhusari Colony        ,18.508581,73.79582099999999,Chuulhaa,18.507997369816948,73.79707762545968,Diner
96,Bhusari Colony        ,18.508581,73.79582099999999,Hotel Krushnai,18.50792381,73.79494177309269,Indian Restaurant
97,Bhusari Colony        ,18.508581,73.79582099999999,Himalaya Chinese,18.50790728978584,73.79737060016012,Chinese Restaurant
98,Bhusari Colony        ,18.508581,73.79582099999999,Chitale Bandhu mithaiwale,18.50801602388125,73.79651935337873,Dessert Shop
99,Bhusari Colony        ,18.508581,73.79582099999999,Pushpak Restaurant & Bar,18.508080829642115,73.79209124483332,Restaurant
100,Bibvewadi          ,18.480641000000002,73.862557,Sujata Mastani,18.480990389449282,73.8651912021299,Ice Cream Shop
101,Bibvewadi          ,18.480641000000002,73.862557,Cafe Coffee Day,18.481000579367915,73.8629802780812,Café
102,Bibvewadi          ,18.480641000000002,73.862557,The Grand Malhar,18.480802449464502,73.8622337266806,Seafood Restaurant
103,Bibvewadi          ,18.480641000000002,73.862557,Pappu pan,18.480759214979404,73.8661910082023,Smoke Shop
104,Bibvewadi          ,18.480641000000002,73.862557,Krushnai Garden,18.478650539967,73.86175133811365,Indian Restaurant
105,Bibvewadi          ,18.480641000000002,73.862557,Chitale Bandhu Mithaiwale By Keyur,18.47839885620397,73.86197530438126,Snack Place
106,Bibvewadi          ,18.480641000000002,73.862557,Monginis Cake Shop,18.480774412719388,73.86555298733269,Bakery
107,Bibvewadi          ,18.480641000000002,73.862557,Lucky Bakery,18.48361647046848,73.86097606829385,Bakery
108,Bibvewadi          ,18.480641000000002,73.862557,Vekkateshwar Amruttulya,18.47732412734814,73.86191213443418,Tea Room
109,Bibvewadi          ,18.480641000000002,73.862557,Mankar,18.48077567425053,73.86615021859045,Snack Place
110,Boat Club Road,18.539517,73.878978,La Bouchee d'Or,18.53893142977607,73.87667715007233,Bakery
111,Boat Club Road,18.539517,73.878978,Suonmoi Chinese Restaurant,18.537519061853448,73.87984084727901,Chinese Restaurant
112,Boat Club Road,18.539517,73.878978,Boat Club,18.541582735239178,73.88025474503291,Bar
113,Boat Club Road,18.539517,73.878978,Mainland China,18.538874069434044,73.87539689680744,Chinese Restaurant
114,Boat Club Road,18.539517,73.878978,Courtyard by Marriott Pune City Centre,18.5388,73.8759,Hotel
115,Boat Club Road,18.539517,73.878978,Carrots N Celery,18.538004116631857,73.88160294538334,Hotel Bar
116,Boat Club Road,18.539517,73.878978,Food Story,18.53925528386031,73.87541855539207,Mughlai Restaurant
117,Boat Club Road,18.539517,73.878978,Sicilia,18.539167971671706,73.87537316362946,Italian Restaurant
118,Boat Club Road,18.539517,73.878978,Paprika Hot Rock,18.539195273607245,73.87537219139938,Mediterranean Restaurant
119,Boat Club Road,18.539517,73.878978,Soy,18.53707590325458,73.88120099467704,Chinese Restaurant
120,Boat Club Road,18.539517,73.878978,HDFC Bank,18.539328,73.878742,Bank
121,Boat Club Road,18.539517,73.878978,Fantasy Juice Bar,18.53820803923161,73.88148236025808,Juice Bar
122,Boat Club Road,18.539517,73.878978,Orra Diamond Jewellery,18.536965,73.881282,Jewelry Store
123,Boat Club Road,18.539517,73.878978,casero,18.53925564750636,73.87529222412897,Mediterranean Restaurant
124,C D A      ,18.500323,73.87816,Domino's Pizza,18.502,73.876,Pizza Place
125,C D A      ,18.500323,73.87816,Art2Day,18.502552138488177,73.87882946871976,Art Gallery
126,C D A      ,18.500323,73.87816,Jagtap Nursery,18.501793,73.880706,Garden Center
127,Chinchwad East        ,18.639625,73.795925,Natural Icecream,18.636608679665343,73.79642281585737,Ice Cream Shop
128,Chinchwad East        ,18.639625,73.795925,McDonald's,18.636638568767065,73.796581959627,Fast Food Restaurant
129,Chinchwad East        ,18.639625,73.795925,Subway,18.640832451670533,73.79558402224409,Sandwich Place
130,Chinchwad East        ,18.639625,73.795925,Hotel Sheetal Vegetarian Restaurant,18.641019328876922,73.79489466313402,Vegetarian / Vegan Restaurant
131,Chinchwad East        ,18.639625,73.795925,Pradeep Sweets,18.64099342153157,73.79370551305954,Convenience Store
132,Chinchwad East        ,18.639625,73.795925,Premier Plaza,18.636110696945348,73.79627840342022,Shopping Mall
133,Chinchwad East        ,18.639625,73.795925,Ezone,18.636648064735304,73.79611252927853,Electronics Store
134,Chinchwad East        ,18.639625,73.795925,PEOPLE,18.636633011339946,73.7964169946505,Clothing Store
135,Chinchwad East        ,18.639625,73.795925,Chinchwad ST stand,18.640920536486792,73.79294146602803,Bus Station
136,Chinchwad East        ,18.639625,73.795925,Panchshil,18.642509524560406,73.798146119344,Indian Restaurant
137,Chinchwad East        ,18.639625,73.795925,United Colors of Benetton,18.636059,73.796217,Clothing Store
138,Chinchwadgaon          ,18.629823000000002,73.782213,Hotel Arihant,18.62681250466169,73.78245132113317,Snack Place
139,Chinchwadgaon          ,18.629823000000002,73.782213,Nevale Misal,18.627925347893264,73.7808082364177,Fast Food Restaurant
140,Chinchwadgaon          ,18.629823000000002,73.782213,Chinchwad Mandai (Vegetable Market),18.629102862770594,73.78034288479253,Farmers Market
141,Chinchwadgaon          ,18.629823000000002,73.782213,De Dakka Misal,18.62877274295833,73.78558659220873,Breakfast Spot
142,Congress House Road      ,18.523303,73.853551,Sai Service Bajaj,18.52225999753082,73.85018514373338,Motorcycle Shop
143,Congress House Road      ,18.523303,73.853551,Shaniwar Wada,18.52015119740706,73.85518729036599,Historic Site
144,Congress House Road      ,18.523303,73.853551,Sudama Bar & Restaurant,18.526122884846785,73.85219938316142,Bar
145,Congress House Road      ,18.523303,73.853551,Mangala,18.52436107609438,73.85409663931077,Multiplex
146,Dapodi Bazar        ,18.624857000000002,73.798769,Croma,18.625418668232076,73.80167393314457,Electronics Store
147,Dapodi          ,18.579048999999998,73.830687,Hotel Ashok,18.579005255335822,73.82817074494245,Hotel
148,Dapodi          ,18.579048999999998,73.830687,Tangerine,18.579931604067315,73.83336067199707,Restaurant
149,Dapodi          ,18.579048999999998,73.830687,Dapodi Railway Station,18.581092713630795,73.83282309214898,Train Station
150,Deccan Gymkhana        ,18.515773,73.842652,Barbeque Nation,18.516237355048084,73.84222283288595,BBQ Joint
151,Deccan Gymkhana        ,18.515773,73.842652,Café GoodLuck,18.5173883002662,73.8414854187446,Café
152,Deccan Gymkhana        ,18.515773,73.842652,Sukanta,18.51694169413758,73.84428399256002,Vegetarian / Vegan Restaurant
153,Deccan Gymkhana        ,18.515773,73.842652,KFC,18.51636540601343,73.84271277231954,Fast Food Restaurant
154,Deccan Gymkhana        ,18.515773,73.842652,Ranade Tapri,18.518439123214733,73.84118200709439,Fast Food Restaurant
155,Deccan Gymkhana        ,18.515773,73.842652,Janaseva Bhojanalaya,18.515952515103418,73.84241580963135,Indian Restaurant
156,Deccan Gymkhana        ,18.515773,73.842652,Flavours,18.51893083023205,73.84140902977073,Sandwich Place
157,Deccan Gymkhana        ,18.515773,73.842652,The Chocolate Room,18.518450934654,73.84157442251627,Coffee Shop
158,Deccan Gymkhana        ,18.515773,73.842652,Top In Town,18.515419965563137,73.84175779790851,Restaurant
159,Deccan Gymkhana        ,18.515773,73.842652,Chitale Bandhu Mithaiwale,18.515742642741714,73.8418978810121,Dessert Shop
160,Deccan Gymkhana        ,18.515773,73.842652,Wadeshwar,18.518656145726464,73.84148287858373,Vegetarian / Vegan Restaurant
161,Deccan Gymkhana        ,18.515773,73.842652,Darshan foods,18.51402082342707,73.84097794716021,Vegetarian / Vegan Restaurant
162,Deccan Gymkhana        ,18.515773,73.842652,Domino's Pizza,18.51624192519409,73.84230837180795,Pizza Place
163,Deccan Gymkhana        ,18.515773,73.842652,Champion Sports,18.516327890618015,73.84169096663962,Sporting Goods Shop
164,Deccan Gymkhana        ,18.515773,73.842652,Deccan Gymkhana Club,18.515179330336036,73.84052753448486,Gym / Fitness Center
165,Deccan Gymkhana        ,18.515773,73.842652,Sarovar,18.515991059013285,73.84172211306785,Bar
166,Deccan Gymkhana        ,18.515773,73.842652,"Barista, FC Road",18.51909106888451,73.84147846395688,Café
167,Deccan Gymkhana        ,18.515773,73.842652,R Deccan Citypride,18.51614959766411,73.84241960930892,Multiplex
168,Deccan Gymkhana        ,18.515773,73.842652,Horn OK Please,18.5184227804663,73.84168248421332,Indian Restaurant
169,Deccan Gymkhana        ,18.515773,73.842652,City Pride,18.516198316907122,73.84258101123163,Multiplex
170,Deccan Gymkhana        ,18.515773,73.842652,Smokin' Joe's,18.51810927519603,73.84383201599121,Pizza Place
171,Deccan Gymkhana        ,18.515773,73.842652,McDonald's,18.518368987944104,73.8444406350638,Fast Food Restaurant
172,Deccan Gymkhana        ,18.515773,73.842652,Baker's Basket,18.517764707404258,73.84064122145718,Bakery
173,Deccan Gymkhana        ,18.515773,73.842652,Peppinos Sandwichs And More,18.51853911226199,73.84151513282426,Juice Bar
174,Deccan Gymkhana        ,18.515773,73.842652,ChinJab,18.518706583183608,73.84476361520987,Indian Restaurant
175,Deccan Gymkhana        ,18.515773,73.842652,PYC Club,18.517335849732056,73.83942687001877,Gym
176,Deccan Gymkhana        ,18.515773,73.842652,Deccan Bus Depot,18.516188150619808,73.84281090948586,Bus Station
177,Deccan Gymkhana        ,18.515773,73.842652,Deccan Vegetable Market,18.51488541253343,73.84177711633129,Farmers Market
178,Deccan Gymkhana        ,18.515773,73.842652,Sanskruti Restaurant,18.51563246338386,73.84623961814953,Indian Restaurant
179,Deccan Gymkhana        ,18.515773,73.842652,Appa's,18.515810086593035,73.84064555168152,Restaurant
180,Deccan Gymkhana        ,18.515773,73.842652,Allen Solly,18.518136572446526,73.84431564326071,Men's Store
181,Deccan Gymkhana        ,18.515773,73.842652,Chaat Bazar,18.518540422996466,73.84148420727603,Snack Place
182,Deccan Gymkhana        ,18.515773,73.842652,Aasing's Burger House,18.513133742349787,73.84435584591309,Burger Joint
183,Dhankawadi          ,18.45678,73.856275,Katraj Dairy,18.45428611503205,73.85820804295932,Food
184,Dhankawadi          ,18.45678,73.856275,Katraj Milk Parlour,18.45451916434044,73.85364062529196,Dessert Shop
185,Dhankawadi          ,18.45678,73.856275,Rajiv Gandhi Zoological Park,18.45436750114994,73.85897758088362,Zoo
186,Dhankawadi          ,18.45678,73.856275,Raju Tapri,18.457280191672634,73.85313131436446,Tea Room
187,Dhankawadi          ,18.45678,73.856275,chill out cafe,18.45747096961678,73.85270059041484,Café
188,Dighi Camp        ,18.572696,73.910359,Reddy's,18.571088485483436,73.91139863285915,Indian Restaurant
189,Dighi Camp        ,18.572696,73.910359,Coffee Jar,18.56964257949076,73.91064593371956,Coffee Shop
190,Dighi Camp        ,18.572696,73.910359,Sky7,18.56974443957431,73.91032230558501,Café
191,Dighi Camp        ,18.572696,73.910359,Vimanzza Cafe,18.571232,73.907346,Café
192,Donje          ,18.408752,73.76706999999999,Krushnai Water Park,18.40610526,73.76845655,Resort
193,Donje          ,18.408752,73.76706999999999,Bhawani Sweets,18.411608,73.766194,Snack Place
194,Dr.B.A. Chowk        ,18.523491,73.86954899999999,Coconut Grove,18.5256809132634,73.86698863631743,Seafood Restaurant
195,Dr.B.A. Chowk        ,18.523491,73.86954899999999,Subway,18.524498008706377,73.86868000030518,Sandwich Place
196,Dr.B.A. Chowk        ,18.523491,73.86954899999999,MURTHY'S,18.521954827810617,73.86965891554726,Bakery
197,Dr.B.A. Chowk        ,18.523491,73.86954899999999,Bawa (Baba) Tea Stall,18.52268357548617,73.86730447770131,Coffee Shop
198,East Khadki        ,18.546345000000002,73.86720799999999,State Bank of India ATM,18.5462014,73.867285,ATM
199,Fatima Nagar,18.5042,73.9014,Diamond Bakery,18.50162781614905,73.90206920358732,Breakfast Spot
200,Fatima Nagar,18.5042,73.9014,Pizza Hut,18.50559652776683,73.90111713712467,Pizza Place
201,Fatima Nagar,18.5042,73.9014,Club Palazo,18.50341685156337,73.9006295152163,Nightclub
202,Fatima Nagar,18.5042,73.9014,Reliance Mart,18.5023642256444,73.9007235115503,Shopping Mall
203,Fatima Nagar,18.5042,73.9014,Inox,18.505607179655673,73.90118842833505,Multiplex
204,Fatima Nagar,18.5042,73.9014,Cafe Coffee Day,18.502777016103554,73.90078493399986,Café
205,Fatima Nagar,18.5042,73.9014,Fatima Nagar,18.504838,73.902734,Gym
206,Fatima Nagar,18.5042,73.9014,Bagicha Corner,18.502481423029238,73.90080948423318,Dessert Shop
207,Fatima Nagar,18.5042,73.9014,Reliance Digital,18.504903779991817,73.9006519317627,Electronics Store
